sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition;list_meanMAP;list_meanMAT;list_meanTS;list_meanPDQ
Colignonia_scandens;Colignonia;NYCTAGINACEAE;1;2;3;0;2;3;1;1;0;1;0;2;2;874.5138889;20.83558432;173.52646;24.40277778
Colubrina_arborescens;Colubrina;RHAMNACEAE;1;2;3;0;2;1;0;1;1;1;5;1;3;2274.515152;25.97065747;60.09074115;228.1818182
Colubrina_elliptica;Colubrina;RHAMNACEAE;0;2;3;0;2;2;0;1;1;1;4;1;2;1330.386207;21.80919475;202.840326;124.0275862
Colubrina_glandulosa;Colubrina;RHAMNACEAE;0;2;1;0;2;1;0;1;2;1;4;1;4;1706.895639;24.13297089;208.9147569;123.5046729
Colubrina_rufa;Colubrina;RHAMNACEAE;1;2;3;0;2;2;0;1;2;1;5;1;2;2629.425287;24.62890331;72.00462297;185.7097701
Columellia_SP.;Columellia;COLUMELLIACEAE;1;2;3;0;2;2;0;1;1;1;4;1;4;2667.636364;26.09583667;44.61947634;458.4545455
Combretum_fruticosum;Combretum;COMBRETACEAE;1;2;3;1;2;1;1;1;1;0;5;0;1;2369.310598;25.64656049;65.67834291;286.5183631
Combretum_leprosum;Combretum;COMBRETACEAE;0;2;3;0;2;2;0;0;1;1;4;1;5;2421.78125;25.6421627;55.43685872;311.78125
Combretum_pyramidatum;Combretum;COMBRETACEAE;1;1;3;0;2;2;0;0;1;1;4;0;2;1664.717934;20.99742953;269.8610763;170.9877031
Comocladia_dentata;Comocladia;ANACARDIACEAE;0;2;3;0;2;2;0;1;1;1;5;0;1;960.5588235;23.2877166;343.2170973;96.35294118
Comocladia_dodonaea;Comocladia;ANACARDIACEAE;0;2;3;0;2;1;0;1;1;1;5;1;2;902.6428571;24.06273261;88.20324503;14.57142857
Comocladia_glabra;Comocladia;ANACARDIACEAE;0;2;3;0;2;2;0;1;1;1;5;1;2;2611.909091;26.10803912;49.76604948;244.2727273
Comocladia_pinnatifolia;Comocladia;ANACARDIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;5;2337.55;26.56395359;39.92043819;276.875
Comocladia_platyphylla;Comocladia;ANACARDIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2;874.5138889;20.83558432;173.52646;24.40277778
Comocladia_spp.;Comocladia;ANACARDIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2;2274.515152;25.97065747;60.09074115;228.1818182
Compsoneura_sprucei;Compsoneura;MYRISTICACEAE;1;2;3;0;2;2;0;1;2;1;4;1;3;1330.386207;21.80919475;202.840326;124.0275862
Conceveiba_martiana;Conceveiba;EUPHORBIACEAE;1;2;3;0;2;2;0;1;0;0;1;0;4;1706.895639;24.13297089;208.9147569;123.5046729
Conceveiba_prealta;Conceveiba;EUPHORBIACEAE;1;2;3;1;2;2;0;1;1;0;1;0;5;2629.425287;24.62890331;72.00462297;185.7097701
Conceveiba_simulata;Conceveiba;EUPHORBIACEAE;1;2;3;0;2;2;1;1;1;0;1;1;4;2667.636364;26.09583667;44.61947634;458.4545455
Condalia_ericoides;Condalia;RHAMNACEAE;1;2;3;0;2;2;0;1;1;0;1;0;4;2369.310598;25.64656049;65.67834291;286.5183631
Condalia_hookeri;Condalia;RHAMNACEAE;0;0;1;0;2;0;0;1;1;1;4;2;2;2421.78125;25.6421627;55.43685872;311.78125
Connarus_patrisii;Connarus;CONNARACEAE;0;1;1;0;2;1;0;1;1;1;4;2;2;1664.717934;20.99742953;269.8610763;170.9877031
Connarus_SPP.;Connarus;CONNARACEAE;1;2;3;0;2;1;0;1;1;0;5;0;1;960.5588235;23.2877166;343.2170973;96.35294118
Connarus_suberosus;Connarus;CONNARACEAE;1;2;3;0;2;2;2;1;0;0;5;0;5;902.6428571;24.06273261;88.20324503;14.57142857
Conocarpus_erectus;Conocarpus;COMBRETACEAE;0;2;3;0;2;1;0;1;1;1;5;1;4;2611.909091;26.10803912;49.76604948;244.2727273
Conostegia_rufescens;Conostegia;MELASTOMATACEAE;1;2;3;0;2;1;0;1;1;1;1;0;5;2337.55;26.56395359;39.92043819;276.875
Conostegia_SPP.;Conostegia;MELASTOMATACEAE;1;2;3;0;2;2;0;0;1;1;0;0;5;874.5138889;20.83558432;173.52646;24.40277778
Cordia_alba;Cordia;BORAGINACEAE;1;2;3;0;2;0;0;1;0;1;1;0;1;2274.515152;25.97065747;60.09074115;228.1818182
Cordia_alliodora;Cordia;BORAGINACEAE;1;2;3;0;2;2;0;1;2;1;4;1;3;1330.386207;21.80919475;202.840326;124.0275862
Cordia_bicolor;Cordia;BORAGINACEAE;1;2;0;0;2;1;0;1;2;1;4;2;2;1706.895639;24.13297089;208.9147569;123.5046729
Cordia_boissieri;Cordia;BORAGINACEAE;1;2;3;0;2;2;0;1;1;1;1;2;0;2629.425287;24.62890331;72.00462297;185.7097701
Cordia_cicatricosa;Cordia;BORAGINACEAE;0;2;3;0;2;1;0;1;1;1;5;1;2;2667.636364;26.09583667;44.61947634;458.4545455
