sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition
Coccoloba_pyrifolia;Coccoloba;POLYGONACEAE;0;2;3;0;2;1;0;0;1;1;5;0;0
Coccoloba_sintenisii;Coccoloba;POLYGONACEAE;1;2;3;0;2;1;0;0;1;0;5;0;5
Coccoloba_uvifera;Coccoloba;POLYGONACEAE;1;2;3;0;2;1;0;0;1;0;5;0;0
Cochlospermum_orinoccense;Cochlospermum;BIXACEAE;1;2;3;0;2;1;0;0;2;1;5;0;0
Cochlospermum_SPP.;Cochlospermum;BIXACEAE;1;2;3;0;2;2;0;1;0;1;0;2;2
Cochlospermum_vitifolium;Cochlospermum;BIXACEAE;1;2;3;0;2;1;0;1;0;1;0;2;3
Colignonia_scandens;Colignonia;NYCTAGINACEAE;1;2;3;0;2;3;1;1;0;1;0;2;2
Colubrina_arborescens;Colubrina;RHAMNACEAE;1;2;3;0;2;1;0;1;1;1;5;1;3
Colubrina_elliptica;Colubrina;RHAMNACEAE;0;2;3;0;2;2;0;1;1;1;4;1;2
Colubrina_glandulosa;Colubrina;RHAMNACEAE;0;2;1;0;2;1;0;1;2;1;4;1;4
Colubrina_rufa;Colubrina;RHAMNACEAE;1;2;3;0;2;2;0;1;2;1;5;1;2
Columellia_SP.;Columellia;COLUMELLIACEAE;1;2;3;0;2;2;0;1;1;1;4;1;4
Combretum_fruticosum;Combretum;COMBRETACEAE;1;2;3;1;2;1;1;1;1;0;5;0;1
Combretum_leprosum;Combretum;COMBRETACEAE;0;2;3;0;2;2;0;0;1;1;4;1;5
Combretum_pyramidatum;Combretum;COMBRETACEAE;1;1;3;0;2;2;0;0;1;1;4;0;2
Comocladia_dentata;Comocladia;ANACARDIACEAE;0;2;3;0;2;2;0;1;1;1;5;0;1
Comocladia_dodonaea;Comocladia;ANACARDIACEAE;0;2;3;0;2;1;0;1;1;1;5;1;2
Comocladia_glabra;Comocladia;ANACARDIACEAE;0;2;3;0;2;2;0;1;1;1;5;1;2
Comocladia_pinnatifolia;Comocladia;ANACARDIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;5
Comocladia_platyphylla;Comocladia;ANACARDIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2
Comocladia_spp.;Comocladia;ANACARDIACEAE;1;2;3;0;2;1;0;1;1;1;5;1;2
Compsoneura_sprucei;Compsoneura;MYRISTICACEAE;1;2;3;0;2;2;0;1;2;1;4;1;3
Conceveiba_martiana;Conceveiba;EUPHORBIACEAE;1;2;3;0;2;2;0;1;0;0;1;0;4
Conceveiba_prealta;Conceveiba;EUPHORBIACEAE;1;2;3;1;2;2;0;1;1;0;1;0;5
Conceveiba_simulata;Conceveiba;EUPHORBIACEAE;1;2;3;0;2;2;1;1;1;0;1;1;4
Condalia_ericoides;Condalia;RHAMNACEAE;1;2;3;0;2;2;0;1;1;0;1;0;4
Condalia_hookeri;Condalia;RHAMNACEAE;0;0;1;0;2;0;0;1;1;1;4;2;2
Connarus_patrisii;Connarus;CONNARACEAE;0;1;1;0;2;1;0;1;1;1;4;2;2
Connarus_SPP.;Connarus;CONNARACEAE;1;2;3;0;2;1;0;1;1;0;5;0;1
Connarus_suberosus;Connarus;CONNARACEAE;1;2;3;0;2;2;2;1;0;0;5;0;5
Conocarpus_erectus;Conocarpus;COMBRETACEAE;0;2;3;0;2;1;0;1;1;1;5;1;4
Conostegia_rufescens;Conostegia;MELASTOMATACEAE;1;2;3;0;2;1;0;1;1;1;1;0;5
Conostegia_SPP.;Conostegia;MELASTOMATACEAE;1;2;3;0;2;2;0;0;1;1;0;0;5
Cordia_alba;Cordia;BORAGINACEAE;1;2;3;0;2;0;0;1;0;1;1;0;1
Cordia_alliodora;Cordia;BORAGINACEAE;1;2;3;0;2;2;0;1;2;1;4;1;3
Cordia_bicolor;Cordia;BORAGINACEAE;1;2;0;0;2;1;0;1;2;1;4;2;2
Cordia_boissieri;Cordia;BORAGINACEAE;1;2;3;0;2;2;0;1;1;1;1;2;0
Cordia_cicatricosa;Cordia;BORAGINACEAE;0;2;3;0;2;1;0;1;1;1;5;1;2
Cordia_collococca;Cordia;BORAGINACEAE;1;2;3;0;2;3;0;1;1;1;5;2;2
Cordia_dodecandra;Cordia;BORAGINACEAE;1;2;3;0;2;2;0;1;1;1;5;2;2
Cordia_elaeagnoides;Cordia;BORAGINACEAE;1;2;3;0;2;1;0;1;1;1;5;2;3
Cordia_gerascanthus;Cordia;BORAGINACEAE;0;1;0;0;2;3;0;1;2;1;4;2;2
Cordia_glabrata;Cordia;BORAGINACEAE;0;2;3;0;2;2;0;1;1;1;5;2;2
Cordia_goeldiana;Cordia;BORAGINACEAE;0;2;3;0;2;2;0;1;1;1;4;2;3
Cordia_hintonii;Cordia;BORAGINACEAE;0;2;3;0;2;3;0;1;2;1;4;2;3
Cordia_hirta;Cordia;BORAGINACEAE;0;1;3;0;2;3;0;1;1;1;4;2;2
